posteam,qtr,down,play_type,pass_length_numerical_mean,pass_length_numerical_count,pass_length_numerical_std,pass_location_numerical_mean,pass_location_numerical_count,pass_location_numerical_std,run_location_numerical_mean,run_location_numerical_count,run_location_numerical_std
ARI,1,1,pass,0.723684211,456,0.447666012,0.543859649,456,0.445052922,1,456,0
ARI,1,1,run,0,603,0,1,603,0,0.49668325,603,0.411611706
ARI,1,2,pass,0.820197044,406,0.384497056,0.509852217,406,0.452593599,1,406,0
ARI,1,2,run,0,362,0,1,362,0,0.516574586,362,0.395264743
ARI,1,3,pass,0.782407407,432,0.413087229,0.576388889,432,0.434795113,1,432,0
ARI,1,3,run,0,58,0,1,58,0,0.50862069,58,0.39170544
ARI,1,4,pass,1,1,,1,1,,1,1,
ARI,1,4,run,0,6,0,1,6,0,0.5,6,0.447213595
ARI,2,1,pass,0.696784074,653,0.460000078,0.543644717,653,0.437866631,1,653,0
ARI,2,1,run,0,499,0,1,499,0,0.486973948,499,0.40121635
ARI,2,2,pass,0.754385965,570,0.430828758,0.578070175,570,0.440234554,1,570,0
ARI,2,2,run,0,291,0,1,291,0,0.501718213,291,0.390619053
ARI,2,3,pass,0.744855967,486,0.43639134,0.574074074,486,0.431571889,1,486,0
ARI,2,3,run,0,66,0,1,66,0,0.462121212,66,0.343182011
ARI,2,4,pass,0.636363636,11,0.504524979,0.5,11,0.447213595,1,11,0
ARI,2,4,run,0,12,0,1,12,0,0.583333333,12,0.417423555
ARI,3,1,pass,0.674832962,449,0.468959745,0.595768374,449,0.43399607,1,449,0
ARI,3,1,run,0,535,0,1,535,0,0.528971963,535,0.398501253
ARI,3,2,pass,0.741339492,433,0.438405209,0.513856813,433,0.4524032,1,433,0
ARI,3,2,run,0,303,0,1,303,0,0.518151815,303,0.36913253
ARI,3,3,pass,0.744897959,392,0.436475643,0.585459184,392,0.437638155,1,392,0
ARI,3,3,run,0,66,0,1,66,0,0.477272727,66,0.366184256
ARI,3,4,pass,0.25,4,0.5,0.625,4,0.478713554,1,4,0
ARI,3,4,run,0,7,0,1,7,0,0.642857143,7,0.243975018
ARI,4,1,pass,0.742081448,663,0.437819245,0.529411765,663,0.434842873,1,663,0
ARI,4,1,run,0,475,0,1,475,0,0.527368421,475,0.384686322
ARI,4,2,pass,0.746945899,573,0.435141556,0.553228621,573,0.432763374,1,573,0
ARI,4,2,run,0,291,0,1,291,0,0.493127148,291,0.380499918
ARI,4,3,pass,0.766233766,462,0.423683995,0.572510823,462,0.428944342,1,462,0
ARI,4,3,run,0,97,0,1,97,0,0.505154639,97,0.371475418
ARI,4,4,pass,0.666666667,72,0.474712663,0.604166667,72,0.435546443,1,72,0
ARI,4,4,run,0,11,0,1,11,0,0.409090909,11,0.375378597
ARI,5,1,pass,0.615384615,13,0.506369684,0.653846154,13,0.427425207,1,13,0
ARI,5,1,run,0,20,0,1,20,0,0.425,20,0.40636385
ARI,5,2,pass,0.615384615,13,0.506369684,0.615384615,13,0.463404348,1,13,0
ARI,5,2,run,0,8,0,1,8,0,0.375,8,0.353553391
ARI,5,3,pass,0.666666667,9,0.5,0.555555556,9,0.463980364,1,9,0
ARI,5,3,run,0,3,0,1,3,0,0.5,3,0
ARI,5,4,run,0,1,,1,1,,0.5,1,
ATL,1,1,pass,0.781746032,504,0.413471132,0.572420635,504,0.433687428,1,504,0
ATL,1,1,run,0,597,0,1,597,0,0.500837521,597,0.465684135
ATL,1,2,pass,0.860411899,437,0.346956379,0.541189931,437,0.44608023,1,437,0
ATL,1,2,run,0,355,0,1,355,0,0.476056338,355,0.461961181
ATL,1,3,pass,0.797530864,405,0.402337018,0.543209877,405,0.430846011,1,405,0
ATL,1,3,run,0,77,0,1,77,0,0.480519481,77,0.454810244
ATL,1,4,pass,0.8,5,0.447213595,0.7,5,0.447213595,1,5,0
ATL,1,4,run,0,13,0,1,13,0,0.576923077,13,0.493548117
ATL,2,1,pass,0.758064516,682,0.428569737,0.549120235,682,0.437091697,1,682,0
ATL,2,1,run,0,552,0,1,552,0,0.499094203,552,0.455356399
ATL,2,2,pass,0.815660685,613,0.388077332,0.509787928,613,0.442699075,1,613,0
ATL,2,2,run,0,329,0,1,329,0,0.490881459,329,0.450178299
ATL,2,3,pass,0.772073922,487,0.41992603,0.58110883,487,0.432825441,1,487,0
ATL,2,3,run,0,74,0,1,74,0,0.459459459,74,0.420019216
ATL,2,4,pass,0.833333333,12,0.389249472,0.458333333,12,0.450168319,1,12,0
ATL,2,4,run,0,11,0,1,11,0,0.727272727,11,0.343775825
ATL,3,1,pass,0.712830957,491,0.452902578,0.532586558,491,0.442577366,1,491,0
ATL,3,1,run,0,564,0,1,564,0,0.484042553,564,0.462360119
ATL,3,2,pass,0.831050228,438,0.37513603,0.515981735,438,0.443328702,1,438,0
ATL,3,2,run,0,324,0,1,324,0,0.50617284,324,0.451991309
ATL,3,3,pass,0.74744898,392,0.435030789,0.554846939,392,0.436712875,1,392,0
ATL,3,3,run,0,71,0,1,71,0,0.556338028,71,0.435474255
ATL,3,4,pass,0.947368421,19,0.229415734,0.447368421,19,0.468292906,1,19,0
ATL,3,4,run,0,7,0,1,7,0,0.571428571,7,0.449867705
ATL,4,1,pass,0.792663477,627,0.405722351,0.536682616,627,0.439932285,1,627,0
ATL,4,1,run,0.001960784,510,0.044280744,0.999019608,510,0.022140372,0.470588235,510,0.456472387
ATL,4,2,pass,0.789855072,552,0.40778092,0.518115942,552,0.439267747,1,552,0
ATL,4,2,run,0,307,0,1,307,0,0.491856678,307,0.449144582
ATL,4,3,pass,0.782312925,441,0.413142175,0.536281179,441,0.430167782,1,441,0
ATL,4,3,run,0,121,0,1,121,0,0.533057851,121,0.4459799
ATL,4,4,pass,0.712328767,73,0.455809782,0.616438356,73,0.404149896,1,73,0
ATL,4,4,run,0,12,0,1,12,0,0.5,12,0.476731295
ATL,5,1,pass,0.714285714,7,0.487950036,0.571428571,7,0.449867705,1,7,0
ATL,5,1,run,0,10,0,1,10,0,0.4,10,0.459468292
ATL,5,2,pass,0.625,8,0.51754917,0.625,8,0.51754917,1,8,0
ATL,5,2,run,0,7,0,1,7,0,0.714285714,7,0.487950036
ATL,5,3,pass,0.857142857,7,0.377964473,0.357142857,7,0.475594866,1,7,0
ATL,5,3,run,0,3,0,1,3,0,1,3,0
ATL,5,4,pass,1,1,,0.5,1,,1,1,
ATL,5,4,run,0,2,0,1,2,0,0.25,2,0.353553391
BAL,1,1,pass,0.787096774,465,0.409800679,0.588172043,465,0.427716839,1,465,0
BAL,1,1,run,0,566,0,1,566,0,0.524734982,566,0.469708458
BAL,1,2,pass,0.823529412,374,0.381730718,0.569518717,374,0.433801431,1,374,0
BAL,1,2,run,0,392,0,1,392,0,0.5,392,0.457950511
BAL,1,3,pass,0.751231527,406,0.432832714,0.615763547,406,0.408427014,1,406,0
BAL,1,3,run,0,72,0,1,72,0,0.479166667,72,0.439570052
BAL,1,4,pass,0.8,5,0.447213595,0.6,5,0.547722558,1,5,0
BAL,1,4,run,0,14,0,1,14,0,0.75,14,0.325221818
BAL,2,1,pass,0.775362319,690,0.417646248,0.576811594,690,0.421533908,1,690,0
BAL,2,1,run,0,506,0,1,506,0,0.477272727,506,0.461355378
BAL,2,2,pass,0.769230769,598,0.421677765,0.591973244,598,0.410175171,1,598,0
BAL,2,2,run,0,319,0,1,319,0,0.548589342,319,0.450355782
BAL,2,3,pass,0.724489796,490,0.447227593,0.587755102,490,0.410063915,1,490,0
BAL,2,3,run,0,107,0,1,107,0,0.546728972,107,0.40939849
BAL,2,4,pass,0.454545455,11,0.522232968,0.409090909,11,0.436931449,1,11,0
BAL,2,4,run,0,16,0,1,16,0,0.53125,16,0.426956282
BAL,3,1,pass,0.773006135,489,0.419317559,0.570552147,489,0.427813615,1,489,0
BAL,3,1,run,0,623,0,1,623,0,0.510433387,623,0.469627654
BAL,3,2,pass,0.8200409,489,0.384546782,0.569529652,489,0.426182039,1,489,0
BAL,3,2,run,0,344,0,1,344,0,0.470930233,344,0.455639436
BAL,3,3,pass,0.731527094,406,0.443711766,0.555418719,406,0.415748852,1,406,0
BAL,3,3,run,0,94,0,1,94,0,0.489361702,94,0.43981132
BAL,3,4,pass,0.941176471,17,0.242535625,0.705882353,17,0.397603113,1,17,0
BAL,3,4,run,0,10,0,1,10,0,0.5,10,0.40824829
BAL,4,1,pass,0.766730402,523,0.423317289,0.57456979,523,0.418883249,1,523,0
BAL,4,1,run,0,592,0,1,592,0,0.499155405,592,0.463105053
BAL,4,2,pass,0.761710794,491,0.426471433,0.602851324,491,0.410465162,1,491,0
BAL,4,2,run,0,388,0,1,388,0,0.484536082,388,0.4600506
BAL,4,3,pass,0.732394366,426,0.443231337,0.613849765,426,0.412248601,1,426,0
BAL,4,3,run,0,152,0,1,152,0,0.513157895,152,0.438039614
BAL,4,4,pass,0.685185185,54,0.468803136,0.638888889,54,0.368790305,1,54,0
BAL,4,4,run,0,28,0,1,28,0,0.464285714,28,0.40662503
BAL,5,1,pass,0.769230769,13,0.43852901,0.5,13,0.456435465,1,13,0
BAL,5,1,run,0,26,0,1,26,0,0.5,26,0.447213595
BAL,5,2,pass,0.8125,16,0.403112887,0.40625,16,0.455292946,1,16,0
BAL,5,2,run,0,18,0,1,18,0,0.694444444,18,0.388772158
BAL,5,3,pass,0.7,20,0.470162346,0.6,20,0.416754377,1,20,0
BAL,5,3,run,0,8,0,1,8,0,0.8125,8,0.372011905
BAL,5,4,pass,0,1,,0,1,,1,1,
BUF,1,1,pass,0.738095238,378,0.440253811,0.55952381,378,0.458953701,1,378,0
BUF,1,1,run,0,589,0,1,589,0,0.507640068,589,0.425016246
BUF,1,2,pass,0.790322581,372,0.407626624,0.577956989,372,0.448835712,1,372,0
BUF,1,2,run,0,389,0,1,389,0,0.491002571,389,0.409986513
BUF,1,3,pass,0.754521964,387,0.430927385,0.541343669,387,0.438847116,1,387,0
BUF,1,3,run,0,108,0,1,108,0,0.476851852,108,0.40084175
BUF,1,4,pass,0.888888889,9,0.333333333,0.666666667,9,0.5,1,9,0
BUF,1,4,run,0,4,0,1,4,0,0.5,4,0.40824829
BUF,2,1,pass,0.746588694,513,0.435388947,0.566276803,513,0.436933984,1,513,0
BUF,2,1,run,0,612,0,1,612,0,0.504901961,612,0.412539328
BUF,2,2,pass,0.770750988,506,0.42076572,0.495059289,506,0.442176543,1,506,0
BUF,2,2,run,0,376,0,1,376,0,0.490691489,376,0.417028921
BUF,2,3,pass,0.734649123,456,0.442004783,0.54495614,456,0.44308707,1,456,0
BUF,2,3,run,0,128,0,1,128,0,0.51953125,128,0.383736005
BUF,2,4,pass,0.647058824,17,0.492592183,0.529411765,17,0.449673084,1,17,0
BUF,2,4,run,0,13,0,1,13,0,0.576923077,13,0.277350098
BUF,3,1,pass,0.748792271,414,0.434232495,0.582125604,414,0.454218136,1,414,0
BUF,3,1,run,0,620,0,1,620,0,0.515322581,620,0.41009955
BUF,3,2,pass,0.760309278,388,0.427445882,0.538659794,388,0.451583785,1,388,0
BUF,3,2,run,0,384,0,1,384,0,0.498697917,384,0.417468902
BUF,3,3,pass,0.712041885,382,0.453405334,0.560209424,382,0.445494161,1,382,0
BUF,3,3,run,0,109,0,1,109,0,0.458715596,109,0.379622378
BUF,3,4,pass,0.181818182,11,0.404519917,0.545454545,11,0.522232968,1,11,0
BUF,3,4,run,0,9,0,1,9,0,0.5,9,0.433012702
BUF,4,1,pass,0.747795414,567,0.434661528,0.531746032,567,0.446677114,1,567,0
BUF,4,1,run,0,516,0,1,516,0,0.507751938,516,0.412119768
BUF,4,2,pass,0.73553719,484,0.44150308,0.561983471,484,0.432002645,1,484,0
BUF,4,2,run,0,361,0,1,361,0,0.541551247,361,0.400959721
BUF,4,3,pass,0.687830688,378,0.463992652,0.574074074,378,0.442820493,1,378,0
BUF,4,3,run,0,165,0,1,165,0,0.484848485,165,0.399787453
BUF,4,4,pass,0.72972973,74,0.447130801,0.554054054,74,0.426578997,1,74,0
BUF,4,4,run,0,22,0,1,22,0,0.568181818,22,0.416774878
BUF,5,1,pass,0.466666667,15,0.516397779,0.666666667,15,0.40824829,1,15,0
BUF,5,1,run,0,26,0,1,26,0,0.557692308,26,0.408091242
BUF,5,2,pass,0.8,15,0.414039336,0.5,15,0.46291005,1,15,0
BUF,5,2,run,0,17,0,1,17,0,0.470588235,17,0.413468115
BUF,5,3,pass,0.636363636,11,0.504524979,0.727272727,11,0.410099766,1,11,0
BUF,5,3,run,0,9,0,1,9,0,0.5,9,0.353553391
CAR,1,1,pass,0.77014218,422,0.42124065,0.536729858,422,0.456363523,1,422,0
CAR,1,1,run,0,636,0,1,636,0,0.469339623,636,0.429524774
CAR,1,2,pass,0.767123288,365,0.42324453,0.502739726,365,0.452396732,1,365,0
CAR,1,2,run,0,418,0,1,418,0,0.476076555,418,0.411934564
CAR,1,3,pass,0.707100592,338,0.455767389,0.560650888,338,0.435810432,1,338,0
CAR,1,3,run,0,133,0,1,133,0,0.518796992,133,0.386348558
CAR,1,4,pass,1,3,0,0.666666667,3,0.577350269,1,3,0
CAR,1,4,run,0,14,0,1,14,0,0.392857143,14,0.446291188
CAR,2,1,pass,0.717741935,620,0.450461689,0.549193548,620,0.448024918,1,620,0
CAR,2,1,run,0,568,0,1,568,0,0.504401408,568,0.432862985
CAR,2,2,pass,0.797348485,528,0.402356172,0.549242424,528,0.446830918,1,528,0
CAR,2,2,run,0,364,0,1,364,0,0.528846154,364,0.413101937
CAR,2,3,pass,0.716381418,409,0.45130596,0.542787286,409,0.449676416,1,409,0
CAR,2,3,run,0,151,0,1,151,0,0.582781457,151,0.376078288
CAR,2,4,pass,0.428571429,14,0.513552591,0.75,14,0.379777263,1,14,0
CAR,2,4,run,0,12,0,1,12,0,0.541666667,12,0.396480731
